,Governador,Ano,Gentílico,Área Territorial,População residente,Densidade demográfica,Matrículas no ensino fundamental,IDH Índice de desenvolvimento humano,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,Rendimento mensal domiciliar per capita,Total de veículos,UF
0,GLADSON DE LIMA CAMELI,2010,acriano,"164.173,525 km²",830.018 pessoas,"5,06 hab/km²",147.350 matrículas,"0,71","11.137.410.342,21 R$","10.302.403.420,85 R$",1.095 R$,350.273 veículos,AC
1,PAULO SURUAGY DO AMARAL DANTAS,2010,alagoano,"27.830,661 km²",3.127.683 pessoas,"112,38 hab/km²",439.014 matrículas,"0,684","20.927.817.222,51 R$","17.963.587.096,92 R$",1.110 R$,1.095.144 veículos,AL
2,CLÉCIO LUÍS VILHENA VIEIRA,2010,amapaense,"142.470,762 km²",733.759 pessoas,"5,15 hab/km²",131.948 matrículas,"0,688","11.249.572.238,02 R$","8.505.172.844,49 R$",1.520 R$,242.574 veículos,AP
3,WILSON MIRANDA LIMA,2010,amazonense,"1.559.256,365 km²",3.941.613 pessoas,"2,53 hab/km²",692.623 matrículas,"0,7","33.030.751.885,07 R$","30.029.370.828,75 R$",1.172 R$,1.130.055 veículos,AM
4,JERÔNIMO RODRIGUES SOUZA,2010,baiano,"564.760,429 km²",14.141.626 pessoas,"25,04 hab/km²",1.865.574 matrículas,"0,691","80.290.524.858,16 R$","77.868.037.416,52 R$",1.139 R$,5.120.353 veículos,BA
5,ELMANO DE FREITAS DA COSTA,2010,cearense,"148.894,447 km²",8.794.957 pessoas,"59,07 hab/km²",1.134.636 matrículas,"0,734","46.124.793.433,02 R$","37.423.640.356,93 R$",1.166 R$,3.753.826 veículos,CE
6,IBANEIS ROCHA BARROS JÚNIOR,2010,brasiliense,"5.760,783 km²",2.817.381 pessoas,"489,06 hab/km²",361.438 matrículas,"0,814","36.479.338.564,35 R$","33.897.143.557,68 R$",3.357 R$,2.083.081 veículos,DF
7,JOSÉ RENATO CASAGRANDE,2010,capixaba ou espírito-santense,"46.074,448 km²",3.833.712 pessoas,"83,21 hab/km²",498.357 matrículas,"0,771","34.291.544.903,51 R$","25.098.719.258,87 R$",1.915 R$,2.357.061 veículos,ES
8,RONALDO RAMOS CAIADO,2010,goiano,"340.242,860 km²",7.056.495 pessoas,"20,74 hab/km²",868.222 matrículas,"0,737","57.825.598.739,32 R$","39.420.594.475,73 R$",2.017 R$,4.726.950 veículos,GO
9,CARLOS ORLEANS BRANDÃO JÚNIOR,2010,maranhense,"329.651,495 km²",6.776.699 pessoas,"20,56 hab/km²",1.045.700 matrículas,"0,676","31.379.701.580,17 R$","24.496.014.978,83 R$",945 R$,2.132.527 veículos,MA
10,MAURO MENDES FERREIRA,2010,mato-grossense,"903.208,362 km²",3.658.649 pessoas,"4,05 hab/km²",507.089 matrículas,"0,736","54.372.352.372,25 R$","37.014.020.738,27 R$",1.991 R$,2.695.548 veículos,MT
11,EDUARDO CORREA RIEDEL,2010,sul-mato-grossense ou mato-grossense-do-sul,"357.142,010 km²",2.757.013 pessoas,"7,72 hab/km²",393.616 matrículas,"0,742","33.155.489.102,00 R$","24.358.822.183,06 R$",2.030 R$,1.893.634 veículos,MS
12,ROMEU ZEMA NETO,2010,mineiro,"586.513,984 km²",20.539.989 pessoas,"35,02 hab/km²",2.343.279 matrículas,"0,774","138.168.422.501,96 R$","110.408.991.645,56 R$",1.918 R$,13.481.706 veículos,MG
13,HELDER ZAHLUTH BARBALHO,2010,paraense,"1.245.870,242 km²",8.120.131 pessoas,"6,52 hab/km²",1.331.723 matrículas,"0,69","52.747.856.526,44 R$","43.981.234.831,53 R$",1.282 R$,2.627.090 veículos,PA
14,JOÃO AZEVEDO LINS FILHO,2010,paraibano,"56.467,242 km²",3.974.687 pessoas,"70,39 hab/km²",523.996 matrículas,"0,698","23.462.797.714,09 R$","17.883.420.827,99 R$",1.320 R$,1.593.744 veículos,PB
15,CARLOS ROBERTO MASSA JUNIOR,2010,paranaense,"199.298,981 km²",11.444.380 pessoas,"57,42 hab/km²",1.365.869 matrículas,"0,769","92.067.885.773,50 R$","67.607.620.659,63 R$",2.115 R$,8.838.800 veículos,PR
16,RAQUEL TEIXEIRA LYRA LUCENA,2010,pernambucano,"98.067,877 km²",9.058.931 pessoas,"92,37 hab/km²",1.229.419 matrículas,"0,719","53.294.049.711,50 R$","48.872.197.159,80 R$",1.113 R$,3.568.386 veículos,PE
17,RAFAEL TAJRA FONTELES,2010,piauiense,"251.755,481 km²",3.271.199 pessoas,"12,99 hab/km²",439.111 matrículas,"0,69","22.928.941.802,89 R$","20.000.924.386,53 R$",1.342 R$,1.449.658 veículos,PI
18,CLÁUDIO BOMFIM DE CASTRO E SILVA,2010,fluminense,"43.750,425 km²",16.055.174 pessoas,"366,97 hab/km²",1.945.098 matrículas,"0,762","121.957.245.523,51 R$","102.289.960.365,40 R$",2.367 R$,7.705.012 veículos,RJ
19,MARIA DE FATIMA BEZERRA,2010,"potiguar, norte-rio-grandense, rio-grandense-do-norte","52.809,599 km²",3.302.729 pessoas,"62,54 hab/km²",437.133 matrículas,"0,728","22.703.397.803,27 R$","19.486.967.053,93 R$",1.373 R$,1.554.064 veículos,RN
20,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,2010,gaúcho ou sul-rio-grandense,"281.707,150 km²",10.882.965 pessoas,"38,63 hab/km²",1.255.794 matrículas,"0,771","88.012.101.405,33 R$","78.352.533.473,39 R$",2.304 R$,8.075.318 veículos,RS
21,MARCOS JOSÉ ROCHA DOS SANTOS,2010,rondoniense ou rondoniano,"237.754,171 km²",1.581.196 pessoas,"6,65 hab/km²",227.246 matrículas,"0,7","17.855.762.489,37 R$","13.605.769.496,55 R$",1.527 R$,1.197.221 veículos,RO
22,ANTONIO OLIVERIO GARCIA DE ALMEIDA,2010,roraimense,"223.644,534 km²",636.707 pessoas,"2,85 hab/km²",111.096 matrículas,"0,699","8.846.153.006,77 R$","7.473.220.866,93 R$",1.425 R$,275.703 veículos,RR
23,JORGINHO DOS SANTOS MELLO,2010,catarinense ou barriga-verde,"95.730,690 km²",7.610.361 pessoas,"79,50 hab/km²",941.272 matrículas,"0,792","61.440.241.790,39 R$","43.927.295.658,78 R$",2.269 R$,6.189.405 veículos,SC
24,TARCISIO GOMES DE FREITAS,2010,paulista,"248.219,485 km²",44.411.238 pessoas,"178,92 hab/km²",5.343.271 matrículas,"0,806","343.634.435.413,40 R$","328.315.580.393,50 R$",2.492 R$,33.264.096 veículos,SP
25,FÁBIO CRUZ MITIDIERI,2010,sergipano ou sergipense,"21.938,188 km²",2.210.004 pessoas,"100,74 hab/km²",305.930 matrículas,"0,702","17.151.927.623,32 R$","13.470.989.190,76 R$",1.218 R$,951.523 veículos,SE
26,WANDERLEI BARBOSA CASTRO,2010,tocantinense,"277.423,627 km²",1.511.460 pessoas,"5,45 hab/km²",222.404 matrículas,"0,731","20.836.869.522,78 R$","15.873.514.926,43 R$",1.581 R$,874.905 veículos,TO
